,Actor1 Id,Actor1 Name,Actor2 Id,Actor2 Name,Actor3 Id,Actor3 Name,Movie Id
0,3896,Liam Neeson,2178,Forest Whitaker,11825,Maggie Grace,260346
1,233334,Alessandro Siani,44648,Ana Caterina Morariu,78535,Fabio De Luigi,315319
2,147041,Rapha?l Personnaz,136761,Nathalie Baye,45152,Olivier Gourmet,307103
3,74568,Chris Hemsworth,134184,Leehom Wang,38280,Tang Wei,201088
4,976,Jason Statham,11665,Michael Angarano,16501,Milo Ventimiglia,265208
5,140114,Marie Avgeropoulos,84214,Taylor Lautner,144292,Adam Rayner,290764
6,1181313,Maisie Williams,989325,Ella Purnell,1168128,Haruka Abe,317144
7,55638,Kevin Hart,54415,Josh Gad,53862,Kaley Cuoco,252838
8,215186,Carlos PenaVega,41798,George Lopez,8944,Jamie Lee Curtis,264337
9,32747,Stephen Lang,55464,Kelly Blatz,88072,Brittany Curran,226458
10,75330,Ambyr Childers,11155,Thomas Jane,23821,Bryan Greenberg,307663
11,15338,William Mapother,58724,Rya Kihlstedt,56104,Sharon Maughan,299551
12,93210,Domhnall Gleeson,227454,Alicia Vikander,25072,Oscar Isaac,264660
13,85,Johnny Depp,12052,Gwyneth Paltrow,3061,Ewan McGregor,210860
14,57345,Alessandro Gassman,3124,Valeria Golino,34491,Luigi Lo Cascio,320028
15,960479,Nina Simone,1484371,Lisa Simone Kelly,214943,Dick Gregory,318044
16,10697,Alan Cumming,38940,Evan Rachel Wood,29223,Elijah Kelley,302429
17,16866,Jennifer Lopez,932091,Ryan Guzman,1348957,Ian Nelson,241251
18,3136,Salma Hayek,554073,Hiroyuki Watanabe,130024,Jennifer Blanc,277355
19,78030,Ashley Benson,979843,Matt McGorry,1416557,Michael William Freeman,320048
20,455,Paul Haggis,37203,Jason Beghe,71797,Alex Gibney,318224
21,229073,Conrad Anker,1459148,Grace Chin,1403129,Jimmy Chin,318279
22,1328,Sean Astin,5916,Rosario Dawson,51797,Nathan Fillion,297556
23,146287,Pio Marma?,1077537,Franck Gastambide,1418653,Adrianna Gradziel,319340
24,1258076,Maccio Capatonda,1420169,Herbert Ballerina,1420171,Ivo Avido,320316
25,1303037,Taron Egerton,5472,Colin Firth,2231,Samuel L. Jackson,207703
26,59315,Olivia Wilde,45407,Mark Duplass,119589,Donald Glover,243940
27,1425134,Milo Parker,236851,Callan McAuliffe,989411,Ella Hunt,240483
28,928575,Jonny Weston,1279279,Virginia Gardner,515628,Sofia Black-D'Elia,227719
29,144501,Jai Koutrae,1421628,Kendra Appleton,1421629,Todd Lascane,301729
30,18973,Mila Kunis,38673,Channing Tatum,48,Sean Bean,76757
31,76820,Marina Fo?s,93532,Laurent Lafitte,1422336,Alexandre Desrousseaux,319341
32,224354,Justin Fletcher,41379,Omid Djalili,1043416,Richard Webber,263109
33,78798,Tom Kenny,34398,Bill Fagerbakke,70615,Rodger Bumpass,228165
34,523540,Michael Gregorio,78423,Omar Sy,1121169,Iz?a Higelin,323661
35,228012,Regina Cas?,1065193,Michel Joelsas,1342895,Camila M?rdila,310569
36,1416745,Robert Durst,23287,Andrew Jarecki,23289,Marc Smerling,321640
37,131,Jake Gyllenhaal,10860,Jessica Biel,11006,James Marsden,316002
38,118545,Dakota Johnson,1254583,Jamie Dornan,49971,Jennifer Ehle,216015
39,49,Maria Bello,81685,Frank Grillo,582816,Cody Horn,234212
40,2228,Sean Penn,69489,Jasmine Trinca,3810,Javier Bardem,266396
41,24893,Franck Dubosc,22306,Kad Merad,113617,Alexandra Lamy,323020
42,88469,Luca Argentero,23961,Claudio Amendola,586953,Anna Foglietta,325690
43,18897,Jackie Chan,3036,John Cusack,3490,Adrien Brody,300168
44,936431,William Feng,145093,Shawn Dou,1465994,Ankhnyam Ragchaa,309302
45,1269,Kevin Costner,1557921,Ramiro Rodriguez,1116973,Carlos Pratts,228203
46,52997,Rob Corddry,64342,Craig Robinson,54729,Clark Duke,243938
47,18054,Rinko Kikuchi,1285173,Nobuyuki Katsube,1079395,Shirley Venard,244563
48,52404,Mae Whitman,1223726,Robbie Amell,98285,Bella Thorne,272693
