,Popularity,Release Date,Title,Vote Average,Vote Count,id
0,6.011808,2015-01-01,Taken 3,6.0,1864,260346
1,1.011477,2015-01-02,We Accept Miracles,5.6,87,315319
2,1.378419,2015-01-07,Serial Killer 1,7.0,66,307103
3,4.389361,2015-01-13,Blackhat,5.0,689,201088
4,5.122899,2015-01-14,Wild Card,5.4,576,265208
5,2.992231,2015-01-15,Tracers,5.9,368,290764
6,1.310204,2015-01-15,Cyberbully,6.5,87,317144
7,2.869028,2015-01-16,The Wedding Ringer,6.5,522,252838
8,1.239119,2015-01-16,Spare Parts,6.6,56,264337
9,2.495097,2015-01-16,Backmask,4.7,66,226458
10,4.00272,2015-01-16,Vice,4.1,209,307663
11,1.48843,2015-01-20,The Atticus Institute,5.4,121,299551
12,7.581978,2015-01-21,Ex Machina,7.6,3692,264660
13,5.081841,2015-01-21,Mortdecai,5.3,816,210860
14,1.109723,2015-01-22,Il nome del figlio,6.3,61,320028
15,1.137513,2015-01-22,"What Happened, Miss Simone?",7.7,87,318044
16,1.718197,2015-01-23,Strange Magic,6.1,83,302429
17,3.063483,2015-01-23,The Boy Next Door,4.0,889,241251
18,1.53912,2015-01-23,Everly,5.2,201,277355
19,1.508552,2015-01-24,Ratter,5.1,74,320048
20,1.791784,2015-01-25,Going Clear: Scientology and the Prison of Belief,7.8,262,318224
21,1.522747,2015-01-25,Meru,7.1,52,318279
22,1.827522,2015-01-27,Justice League: Throne of Atlantis,6.4,174,297556
23,1.164824,2015-01-28,I Kissed a Girl,5.9,91,319340
24,1.135444,2015-01-29,Italiano medio,5.8,94,320316
25,7.440387,2015-01-29,Kingsman: The Secret Service,7.6,4543,207703
26,1.915521,2015-01-29,The Lazarus Effect,5.0,426,243940
27,1.795453,2015-01-29,Robot Overlords,4.7,92,240483
28,3.31101,2015-01-30,Project Almanac,6.3,762,227719
29,1.26779,2015-01-30,Terminus,4.9,55,301729
30,9.629969,2015-02-04,Jupiter Ascending,5.2,2248,76757
31,2.290434,2015-02-04,Daddy or Mommy,6.0,274,319341
32,2.46456,2015-02-05,Shaun the Sheep Movie,6.9,386,263109
33,3.573552,2015-02-05,The SpongeBob Movie: Sponge Out of Water,5.7,589,228165
34,1.34118,2015-02-05,Mune: Guardian of the Moon,7.1,62,323661
35,1.456531,2015-02-08,The Second Mother,7.8,122,310569
36,1.067763,2015-02-08,The Jinx: The Life and Deaths of Robert Durst,8.7,73,321640
37,1.498311,2015-02-10,Accidental Love,3.6,79,316002
38,7.370665,2015-02-11,Fifty Shades of Grey,5.2,2420,216015
39,1.574863,2015-02-12,Demonic,4.9,115,234212
40,2.311092,2015-02-16,The Gunman,5.5,340,266396
41,1.326214,2015-02-18,Bis,5.3,119,323020
42,1.081765,2015-02-19,Noi e la Giulia,7.2,74,325690
43,1.861576,2015-02-19,Dragon Blade,5.9,116,300168
44,1.770621,2015-02-19,Wolf Totem,6.4,111,309302
45,1.816788,2015-02-20,"McFarland, USA",7.4,170,228203
46,1.393538,2015-02-20,Hot Tub Time Machine 2,4.9,303,243938
47,1.243724,2015-02-20,"Kumiko, the Treasure Hunter",6.4,89,244563
48,2.92314,2015-02-20,The DUFF,6.7,932,272693
49,1.240326,2015-02-20,Digging Up the Marrow,5.5,56,279972
50,1.910498,2015-02-24,Dragonheart 3: The Sorcerer's Curse,4.5,65,300803
51,1.336591,2015-02-24,Power/Rangers,7.3,106,327029
52,4.620555,2015-02-25,Focus,6.7,2108,256591
53,1.408944,2015-02-26,The Second Best Exotic Marigold Hotel,6.4,234,268238
54,1.380888,2015-02-27,Into the Grizzly Maze,5.2,64,244316
55,1.456664,2015-03-01,Parallels,6.2,126,328595
56,9.560662,2015-03-04,Chappie,6.6,2352,198184
57,2.079539,2015-03-05,Unfinished Business,5.0,280,239573
58,2.194255,2015-03-05,Superfast!,4.4,71,325358
59,2.337646,2015-03-09,Frozen Fever,7.0,533,326359
60,2.424751,2015-03-10,The Man with the Iron Fists 2,4.5,53,321494
61,4.690724,2015-03-11,Run All Night,6.3,994,241554
62,1.048555,2015-03-11,Ma che bella sorpresa,5.8,72,328720
63,1.682295,2015-03-12,Kidnapping Mr. Heineken,5.8,160,228968
64,8.409183,2015-03-12,Cinderella,6.7,1847,150689
65,1.463989,2015-03-13,Home Sweet Hell,5.0,162,276839
66,1.634923,2015-03-13,X+Y,6.3,174,278236
67,1.867986,2015-03-14,Moonwalkers,6.3,75,272548
68,1.512018,2015-03-15,Deep Web,6.8,67,321769
69,4.500136,2015-03-15,Child 44,5.9,431,181283
70,1.301382,2015-03-16,The Diabolical,4.2,56,323370
71,1.788749,2015-03-17,He Never Died,6.4,119,279690
72,3.699131,2015-03-18,Home,6.8,1226,228161
73,10.846368,2015-03-18,Insurgent,6.3,2894,262500
74,1.285617,2015-03-18,A Perfect Man,6.9,102,322125
